Position,Player,Matches,Innings,Not_out,Runs,Highest_Score,Average,Balls_faced,Strike_rate,Centuries,Half_centuaries,4's,6's,IPl_team,Role,year
80,Shashank Singh,10,5,1,69,25*,17.25,47,146.8,0,0,5,4,Sunrises Hyderabad,Bowler,2022
81,Suyash S Prabhudessai,5,5,0,67,34,13.4,59,113.55,0,0,7,2,Royal Challengers Bangalore,Bowler,2022
82,Pat Cummins,5,5,1,63,56*,15.75,24,262.5,0,1,5,6,Kolkata Knight Riders,Bowler,2022
83,Jaydev Unadkat,5,5,2,59,19*,19.67,37,159.45,0,0,4,3,Mumbai Indians,Bowler,2022
84,Romario Shepherd,3,3,1,58,26*,29,41,141.46,0,0,2,5,Sunrises Hyderabad,Bowler,2022
85,Jason Holder,12,8,2,58,16,9.67,44,131.81,0,0,2,6,Lucknow Super Giants,Bowler,2022
86,Umesh Yadav,12,7,3,55,21,13.75,40,137.5,0,0,4,4,Kolkata Knight Riders,Bowler,2022
87,Odean Smith,6,6,3,51,25*,17,44,115.9,0,0,1,5,Punjab Kings,Bowler,2022
88,Kagiso Rabada,13,8,3,48,25,9.6,43,111.62,0,0,5,2,Punjab Kings,Bowler,2022
89,Kuldeep Yadav,14,7,6,48,16*,48,52,92.3,0,0,3,2,Delhi Capitals,Bowler,2022
90,Priyam Garg,2,2,0,46,42,23,33,139.39,0,0,4,2,Sunrises Hyderabad,Bowler,2022
91,Ramandeep Singh,5,4,2,45,14*,22.5,40,112.5,0,0,3,1,Mumbai Indians,Bowler,2022
92,Dwaine Pretorius,6,5,1,44,22,11,28,157.14,0,0,3,3,Chennai Super Kings,Bowler,2022
93,Dushmantha Chameera,12,8,4,43,17,10.75,28,153.57,0,0,3,3,Lucknow Super Giants,Bowler,2022
94,Harshal Patel,15,8,3,43,11,8.6,39,110.25,0,0,4,2,Royal Challengers Bangalore,Bowler,2022
95,Hrithik Shokeen,5,3,1,43,25,21.5,48,89.58,0,0,5,0,Mumbai Indians,Bowler,2022
96,Trent Boult,16,8,6,40,17*,20,29,137.93,0,0,2,1,Rajasthan Royals,Bowler,2022
